raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
91497.1.39.16	90477	88226	3243	76611	84.7827860413647	67928	75.2358232441351	865	1865	6464	7.19992780427506	0.0412999965902565
91497.1.39.18	85722	83787	3099	64894	75.8206431692564	56969	66.5860511533221	858	1734	4487	5.24101148498781	0.0437608605878404
91497.1.39.38	80727	78922	3081	62385	77.4697865679823	53691	66.7173888709623	923	1778	6969	8.63860375018003	0.0469023960012152
91497.1.39.43	262423	256290	8943	198126	75.652859756449	175218	66.9570421481672	2111	5169	10785	4.11623844396062	0.0441114749739113
91497.1.39.45	330877	322345	11324	231039	69.9651765996137	206338	62.5351753372965	2461	6151	20102	6.06364678585225	0.044054182932889
91497.1.39.58	168713	165353	5895	129873	77.0517577843485	117381	69.712510151678	1283	3197	16195	9.6227417786646	0.0411934632688902
91497.1.39.62	200838	197579	6974	173837	86.6062754392587	146117	72.8382314232194	1596	3765	5563	2.77604487044086	0.036326720098372
91497.1.39.66	231410	227413	7500	135333	58.5617584314518	121831	52.7467796852365	1520	3420	15618	6.72705346192106	0.0409668180389697
91497.1.39.67	488592	483182	14885	393969	80.6646507992575	329170	67.4223456402006	2743	7811	32996	6.74207531667056	0.0325906564241733
91497.1.39.68	371421	363917	11986	278462	75.0600969367095	255856	69.0240645857207	2632	7052	35525	9.57465530844008	0.0420692316979066
91497.1.39.9	461666	457170	16502	390150	84.5524605083116	262056	56.8418452748891	3054	8003	23010	4.9866968448042	0.0348437480216285
91497.1.40.25	118727	116699	4520	92172	77.6639065140911	85162	71.8086190218027	1188	2533	4372	3.67540364103657	0.0468313155482793
91497.1.40.28	264436	260520	9693	234686	88.8491740099136	185244	70.1456572492118	2087	5060	9092	3.42618769721893	0.0371361784513032
91497.1.40.54	274800	270884	9020	221279	80.5348736108341	198939	72.4278941602019	1823	4919	19796	7.21593527730932	0.0375018870858196
91497.1.40.55	377217	371846	12041	317578	84.2610100775891	264950	70.323389968064	2478	6523	18932	5.03178573741862	0.0336473194433885
91497.1.40.56	879420	869397	28830	768837	87.4837534030817	624802	71.12975626885	4434	15231	26520	3.02376270542652	0.0331731408056575
91497.1.40.58	368312	361851	13027	296350	80.5286247042744	249061	67.733081832172	2797	7129	28785	7.83036801154481	0.0402787288361647
91497.1.40.70	1178522	1161236	30561	534913	45.4331805260197	480908	40.8879119925978	4121	13125	98034	8.32204444235084	0.0382915552479608
91497.1.4.10	205004	201971	7178	184639	90.1616608314984	156916	76.6362442029624	1707	4254	15498	7.61357861640223	0.0390908261329943
91497.1.41.12	236032	231911	8414	199131	84.4119069746414	172932	73.3431354126325	1954	4629	13374	5.67206244651384	0.0389320004409559
91497.1.41.23	125357	122379	4475	91356	72.9968522127123	83622	66.8784574748187	1187	2508	7538	6.00604139479762	0.0463977240398987
91497.1.41.27	410177	401801	15023	355045	86.6406165912544	305143	74.4909375425717	3069	8262	21104	5.13373999647192	0.0392021030083031
91497.1.41.29	55342	54343	2117	33159	60.026031378106	29279	53.0490163839912	464	897	189	0.353566237569129	0.0478721155060728
91497.1.41.36	312116	308602	11618	277871	89.0441633408583	248321	79.5682774999743	2646	6711	12377	3.98711550875361	0.0410808201253974
91497.1.41.37	217058	211783	8362	173548	80.0551977401212	157512	72.6884151930982	1957	4468	10547	4.86198780177546	0.043151085513232
91497.1.41.42	328297	323835	10066	279486	85.1994446613896	232561	70.9151694753666	2162	5711	23737	7.23955914165555	0.0330759471695108
91497.1.41.49	317980	312873	12581	268326	84.459156208353	218032	68.662808983743	2837	6770	19700	6.19437173246674	0.04353119306385
91497.1.41.51	374509	367623	13442	278125	74.2987926770479	248001	66.2647483682809	2610	6875	19461	5.1996656171687	0.0419785701020781
91497.1.41.52	298401	291571	11160	214582	71.9525514586608	191638	64.3137580933098	2278	5773	12442	4.1692822131991	0.0453765297350811
91497.1.41.53	222552	216834	7733	156820	70.5749909353421	140471	63.3021745870201	1958	4270	13530	6.09967386136488	0.045332864334305
91497.1.41.55	342977	336087	13697	268743	78.4326903447058	243509	71.1245327205579	2809	7455	39085	11.4113307671111	0.0480234768313336
91497.1.41.5	156912	152789	5851	129579	82.7378241958484	117435	75.0393038508632	1609	3588	13242	8.48446232645848	0.0467208210261332
91497.1.41.62	454874	444395	14897	389162	85.7035860793984	325415	71.7304967185054	3543	8841	25723	5.65190247335951	0.0372979994690303
91497.1.41.6	259256	255105	8792	228981	88.4210436990032	209203	80.8285402986248	1891	5217	16942	6.55041461769755	0.0383585035926629
91497.1.41.71	4033166	3964319	113658	3261558	80.9404267321403	2716370	67.4437890256829	12514	67996	186271	4.6130832343717	0.0331727144535784
91497.1.4.18	109398	107444	3915	84731	77.5466662712253	75085	68.7931447530374	1113	2331	5843	5.33269078721075	0.0462955434454063
91497.1.41.8	139497	136429	5150	119608	85.8900695241455	108770	78.1614012322936	1312	3125	10485	7.54370881597144	0.0438989557373809
91497.1.42.15	159883	156488	5925	114472	71.6721811849987	102255	64.1018220125587	1398	3119	9382	5.85475384054469	0.0466456793322468
91497.1.42.23	332400	327964	13078	286103	86.1245347375883	230786	69.5025300159485	2621	6813	26136	7.8581646058236	0.0412990294215205
91497.1.42.29	122956	120359	4698	92831	75.5425909161164	82524	67.1981976011023	1225	2558	5310	4.32736577399222	0.0479049153510239
91497.1.42.30	271946	268178	8933	189740	69.8003683692973	173535	63.8560702604415	1569	4441	31994	11.7642196259177	0.0395939430300689
91497.1.42.31	210866	206003	7349	158119	75.0703823203359	144969	68.8722498251641	1734	4200	23415	11.1068738255933	0.0446301635073476
91497.1.42.34	317304	311965	11221	254729	80.3831724154634	231680	73.1675155895932	2331	6349	26553	8.37714378701485	0.04235334792677
91497.1.42.39	148364	145685	5018	102582	69.1984645774953	91554	61.788018977862	1195	2672	11138	7.51661752255486	0.0430962647500923
91497.1.42.3	248508	242473	9120	218001	87.8420530843871	196842	79.3550494570418	2413	5608	10080	4.07934361668354	0.0432469668075546
91497.1.42.40	532087	520590	21570	426781	80.2917838833585	363438	68.4019895399535	4415	11601	43772	8.21775811031283	0.0457085217658956
91497.1.42.52	306350	299461	10517	223440	73.0482293556824	200765	65.6767820291084	2453	6052	15622	5.11093536021832	0.0451360036600336
91497.1.42.65	210680	206693	6342	121845	57.8005633220091	110832	52.6240159501266	1438	3263	21395	10.1234755356231	0.0433228600770109
91497.1.42.6	178487	173844	6187	151005	84.7972407346785	139817	78.5787181662399	1675	4048	13900	7.79363702833398	0.0440343669430529
91497.1.42.7	165555	161391	5492	142345	86.1128068886963	127219	77.0633634166985	1536	3649	14642	8.86582152179798	0.0426325900928942
91497.1.4.28	83511	81211	3093	66580	79.9299702756436	61551	74.0330207520077	1074	2090	4092	4.88802875837875	0.0516069818980181
91497.1.43.15	186550	183955	6543	146617	78.6416553823669	131299	70.4527924066512	1356	3386	15856	8.51466408672165	0.0387715342928233
91497.1.43.16	144668	141845	5262	118082	81.6640689878262	106308	73.5525971268498	1306	2879	6288	4.36166925363799	0.041167422139009
