gene	module	cor
ANXA5	grey	0.144192622555994
ANXA6	grey	0.579468679240949
ANXA7	turquoise	0.377387184115678
ANXA8	grey	0.0117051774327837
ANXA8L1	grey	-0.143206447771883
ANXA9	yellow	0.649851082497839
AOAH	darkolivegreen	0.921334541053642
AOC1	grey	0.0140686257304136
AOC2	grey	-0.0657642608600475
AOC3	grey	-0.0826841739931001
AOX1	turquoise	0.426180812825425
AP1AR	grey	0.401468181460607
AP1B1	black	0.788477311243066
AP1G1	grey	0.450427838425819
AP1G2	mediumpurple3	0.731740093701982
AP1M1	yellow	0.371987437582095
AP1M2	tan	0.786326211185658
AP1S1	blue	0.705552845823974
AP1S2	grey	0.73876515934622
AP1S3	grey	0.275744648691552
AP2A1	turquoise	0.366313895473283
AP2A2	grey	0.0568293170440825
AP2B1	turquoise	0.712259850594575
AP2M1	lightsteelblue1	0.862999701542117
AP2S1	blue	0.879725588082774
AP3B1	grey	0.219140315328922
AP3B2	grey	-0.204030878518159
AP3D1	black	0.821136333028908
AP3M1	grey	0.244722666976059
AP3M2	turquoise	0.886193132609698
AP3S1	pink	0.80429696922955
AP3S2	grey	-0.0199429620195414
AP4B1	grey	0.588091399525798
AP4E1	grey	0.444407931857508
AP4M1	turquoise	0.774765929431766
AP4S1	grey	-0.295452659931188
AP5B1	black	0.85807145652135
AP5M1	grey	0.205572899682943
AP5S1	blue	0.598388456747281
AP5Z1	grey	0.617777660258294
APAF1	grey	0.620834133820314
APBA1	grey	-0.193052658171879
APBA2	grey	0.254469201625187
APBA3	grey	0.323960722332564
APBB1	turquoise	0.88844073576213
APBB1IP	skyblue3	0.972126529691141
APBB2	grey	-0.223717353403133
APBB3	green	0.879370634314233
APC	lightcyan	0.748532430887053
APC2	grey	0.0406523762195691
APCDD1	turquoise	0.697497919362332
APEH	blue	0.700797000339987
APELA	turquoise	0.548087394469664
